RADIUS_PC,VELOCITY_KMS,DENSITY_CM3
19.550781,3.4657639e-16,100
19.589844,1.4740318e-15,100
19.628906,-2.0425087e-15,100
19.667969,2.020503e-15,100
19.707031,1.1120104e-14,100
19.746094,8.9026726e-15,100
19.785156,9.2936778e-15,100
19.824219,1.0582036e-14,100
19.863281,9.6747706e-15,100
19.902344,9.5428958e-15,100
19.941406,9.9081179e-15,100
19.980469,1.1342031e-14,100
